ID,Label,Active,Notes
-4,ValidSkip,TRUE,
-3,InvalidSkip,TRUE,
-1,Refusal,TRUE,
0,Respondent,TRUE,
1,Spouse,TRUE,
2,Son,TRUE,
3,Daughter,TRUE,
4,Father,TRUE,
5,Mother,TRUE,
6,Brother,TRUE,
7,Sister,TRUE,
8,Grandfather,TRUE,
9,Grandmother,TRUE,
10,Grandson,TRUE,
11,Granddaughter,TRUE,
12,UncleEtc,TRUE,
13,AuntEtc,TRUE,
14,GreatUncle,TRUE,
15,GreatAunt,TRUE,
16,Cousin,TRUE,
17,Nephew,TRUE,
18,Niece,TRUE,
19,OtherBloodRelative,TRUE,
20,AdoptedOrStepson,TRUE,
21,AdoptedOrStepdaughter,TRUE,
22,SonInLaw,TRUE,
23,DaughterInLaw,TRUE,
24,FatherInLaw,TRUE,
25,MotherInLaw,TRUE,
26,BrotherInLaw,TRUE,
27,SisterInLaw,TRUE,
28,GrandfatherInLaw,TRUE,
29,GrandmotherInLaw,TRUE,
30,GrandsonInLaw,TRUE,
31,GranddaughterInLaw,TRUE,
32,OtherInLawRelative,TRUE,
33,Partner,TRUE,
34,Boarder,TRUE,
35,FosterChild,TRUE,
36,OtherNonRelative,TRUE,
37,Stepfather,TRUE,
38,Stepmother,TRUE,
39,Stepbrother,TRUE,
40,Stepsister,TRUE,
41,GreatGrandson,TRUE,
42,GreatGranddaughter,TRUE,
43,StepGrandson,TRUE,
44,StepGranddaughter,TRUE,
45,FosterSon,TRUE,
46,FosterDaughter,TRUE,
47,Parents,TRUE,
48,Grandparents,TRUE,
49,AuntOrUncle,TRUE,
50,FosterFather,TRUE,
51,FosterMother,TRUE,
52,FosterBrother,TRUE,
53,FosterSister,TRUE,
54,Guardian,TRUE,
57,HusbandOrBrotherInLaw,TRUE,
58,WifeOrSisterInLaw,TRUE,
59,AdoptedOrStepbrother,TRUE,
60,AdoptedOrStepsister,TRUE,"Watch out, this is listed at the bottom of the NlsInvestigator"
62,BrotherOrCousin,TRUE,
63,SisterOrCousin,TRUE,
64,BrotherNaturalStepOrAdopted,TRUE,
65,SisterNaturalStepOrAdopted,TRUE,
66,SiblingOrSpouseOfInLaws,TRUE,
