name,subdirectory,upload
Gen1Outcomes,nlsy79-gen1,TRUE
Gen1Explicit,nlsy79-gen1,TRUE
Gen1GeocodeSanitized,nlsy79-gen1,TRUE
Gen1Implicit,nlsy79-gen1,TRUE
Gen1Links,nlsy79-gen1,TRUE
Gen2OutcomesWeight,nlsy79-gen2,TRUE
Gen2BirthDateFromGen1,nlsy79-gen2,FALSE
Gen2FatherFromGen1,nlsy79-gen2,TRUE
Gen2ImplicitFather,nlsy79-gen2,TRUE
Gen2Links,nlsy79-gen2,TRUE
Gen2LinksFromGen1,nlsy79-gen2,TRUE
Gen2OutcomesHeight,nlsy79-gen2,TRUE
Gen2OutcomesMath,nlsy79-gen2,TRUE
Links2004Gen1,historical,TRUE
Links2004Gen2,historical,TRUE
